Game_Start,Game_End
2018-04-09 14:20:00+00:00,2018-04-09 17:25:00+00:00
2018-04-10 13:20:00+00:00,2018-04-10 16:25:00+00:00
2018-04-11 19:05:00+00:00,2018-04-11 22:04:00+00:00
2018-04-12 13:20:00+00:00,2018-04-12 16:17:00+00:00
2018-04-13 13:20:00+00:00,2018-04-13 16:29:00+00:00
2018-04-14 13:20:00+00:00,2018-04-14 17:03:00+00:00
2018-04-15 13:20:00+00:00,2018-04-15 16:34:00+00:00
2018-04-16 18:05:00+00:00,2018-04-16 21:18:00+00:00
2018-04-17 19:05:00+00:00,2018-04-17 22:38:00+00:00
2018-04-18 13:20:00+00:00,2018-04-18 16:30:00+00:00
2018-04-19 13:20:00+00:00,2018-04-19 16:30:00+00:00
2018-04-26 19:05:00+00:00,2018-04-26 21:27:00+00:00
2018-04-27 13:20:00+00:00,2018-04-27 16:23:00+00:00
2018-04-28 13:20:00+00:00,2018-04-28 15:57:00+00:00
2018-04-29 13:20:00+00:00,2018-04-29 15:55:00+00:00
2018-04-30 18:05:00+00:00,2018-04-30 21:02:00+00:00
2018-05-01 19:05:00+00:00,2018-05-01 21:29:00+00:00
2018-05-02 13:20:00+00:00,2018-05-02 16:25:00+00:00
2018-05-07 19:05:00+00:00,2018-05-07 21:53:00+00:00
2018-05-08 19:05:00+00:00,2018-05-08 21:43:00+00:00
2018-05-09 13:20:00+00:00,2018-05-09 16:33:00+00:00
2018-05-11 13:20:00+00:00,2018-05-11 17:05:00+00:00
2018-05-12 13:20:00+00:00,2018-05-12 16:40:00+00:00
2018-05-13 13:20:00+00:00,2018-05-13 16:07:00+00:00
2018-05-14 13:20:00+00:00,2018-05-14 16:34:00+00:00
2018-05-22 18:05:00+00:00,2018-05-22 21:25:00+00:00
2018-05-23 19:05:00+00:00,2018-05-23 21:44:00+00:00
2018-05-25 13:20:00+00:00,2018-05-25 16:06:00+00:00
2018-05-26 18:15:00+00:00,2018-05-26 21:19:00+00:00
2018-05-27 19:08:00+00:00,2018-05-27 22:39:00+00:00
2018-06-05 19:05:00+00:00,2018-06-05 21:51:00+00:00
2018-06-06 19:05:00+00:00,2018-06-06 22:25:00+00:00
2018-06-07 13:20:00+00:00,2018-06-07 16:40:00+00:00
2018-06-08 13:20:00+00:00,2018-06-08 16:20:00+00:00
2018-06-09 13:20:00+00:00,2018-06-09 15:52:00+00:00
2018-06-10 13:20:00+00:00,2018-06-10 16:42:00+00:00
2018-06-18 19:05:00+00:00,2018-06-18 22:51:00+00:00
2018-06-19 12:05:00+00:00,2018-06-19 15:51:00+00:00
2018-06-19 19:05:00+00:00,2018-06-19 22:24:00+00:00
2018-06-20 13:20:00+00:00,2018-06-20 16:06:00+00:00
2018-06-29 16:05:00+00:00,2018-06-29 19:32:00+00:00
2018-06-30 13:20:00+00:00,2018-06-30 17:04:00+00:00
2018-07-01 13:20:00+00:00,2018-07-01 17:03:00+00:00
2018-07-03 13:20:00+00:00,2018-07-03 16:17:00+00:00
2018-07-04 13:20:00+00:00,2018-07-04 16:24:00+00:00
2018-07-06 13:20:00+00:00,2018-07-06 16:29:00+00:00
2018-07-07 13:20:00+00:00,2018-07-07 16:35:00+00:00
2018-07-08 13:20:00+00:00,2018-07-08 16:52:00+00:00
2018-07-19 18:05:00+00:00,2018-07-19 21:34:00+00:00
2018-07-20 13:20:00+00:00,2018-07-20 17:14:00+00:00
2018-07-21 12:05:00+00:00,2018-07-21 15:18:00+00:00
2018-07-21 18:15:00+00:00,2018-07-21 21:53:00+00:00
2018-07-22 13:20:00+00:00,2018-07-22 16:25:00+00:00
2018-07-23 19:05:00+00:00,2018-07-23 22:00:00+00:00
2018-07-24 19:05:00+00:00,2018-07-24 22:18:00+00:00
2018-07-25 13:20:00+00:00,2018-07-25 15:59:00+00:00
2018-07-26 13:20:00+00:00,2018-07-26 16:42:00+00:00
2018-08-02 19:05:00+00:00,2018-08-02 22:02:00+00:00
2018-08-03 13:20:00+00:00,2018-08-03 16:26:00+00:00
2018-08-04 13:20:00+00:00,2018-08-04 15:58:00+00:00
2018-08-05 13:20:00+00:00,2018-08-05 16:49:00+00:00
2018-08-10 13:20:00+00:00,2018-08-10 16:30:00+00:00
2018-08-11 15:05:00+00:00,2018-08-11 18:16:00+00:00
2018-08-12 19:05:00+00:00,2018-08-12 22:01:00+00:00
2018-08-14 13:20:00+00:00,2018-08-14 16:02:00+00:00
2018-08-15 13:20:00+00:00,2018-08-15 16:32:00+00:00
2018-08-23 19:05:00+00:00,2018-08-23 21:32:00+00:00
2018-08-24 13:20:00+00:00,2018-08-24 16:21:00+00:00
2018-08-25 13:20:00+00:00,2018-08-25 16:46:00+00:00
2018-08-26 13:20:00+00:00,2018-08-26 15:56:00+00:00
2018-08-27 19:05:00+00:00,2018-08-27 22:20:00+00:00
2018-08-28 19:05:00+00:00,2018-08-28 22:46:00+00:00
2018-08-29 12:00:00+00:00,2018-08-29 15:41:00+00:00
2018-08-29 13:20:00+00:00,2018-08-29 16:30:00+00:00
2018-09-10 19:05:00+00:00,2018-09-10 22:24:00+00:00
2018-09-11 19:05:00+00:00,2018-09-11 21:59:00+00:00
2018-09-12 19:05:00+00:00,2018-09-12 22:19:00+00:00
2018-09-14 19:05:00+00:00,2018-09-14 22:03:00+00:00
2018-09-15 15:05:00+00:00,2018-09-15 17:44:00+00:00
2018-09-16 13:20:00+00:00,2018-09-16 16:03:00+00:00
2018-09-24 19:05:00+00:00,2018-09-24 21:58:00+00:00
2018-09-25 19:05:00+00:00,2018-09-25 22:22:00+00:00
2018-09-26 19:05:00+00:00,2018-09-26 22:47:00+00:00
2018-09-27 19:05:00+00:00,2018-09-27 21:58:00+00:00
2018-09-28 13:20:00+00:00,2018-09-28 16:27:00+00:00
2018-09-29 12:05:00+00:00,2018-09-29 14:30:00+00:00
2018-09-30 14:20:00+00:00,2018-09-30 18:04:00+00:00
