Game_Start,Game_End,Latitude,Longitude,Team,Sport,h3_res_4,h3_res_6,h3_res_7,h3_res_8,census_tract
2018-09-17 20:00:00,2018-09-17 23:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-09-30 13:00:00,2018-09-30 15:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-10-21 13:00:00,2018-10-21 16:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-10-28 13:00:00,2018-10-28 16:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-11-11 13:00:00,2018-11-11 16:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-11-18 20:00:00,2018-11-18 23:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-12-09 20:00:00,2018-12-09 23:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-12-16 13:00:00,2018-12-16 15:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-01-06 16:00:00,2018-01-06 19:00:00,41.862366,-87.617256,Chicago Bears,Football,842664dffffffff,862664c1fffffff,872664c1bffffff,882664c1b1fffff,17031330100
2018-04-05 15:00:00,2018-04-05 19:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-07 13:00:00,2018-04-07 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-08 13:00:00,2018-04-08 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-09 13:00:00,2018-04-09 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-10 13:00:00,2018-04-10 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-11 13:00:00,2018-04-11 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-20 19:00:00,2018-04-20 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-21 18:00:00,2018-04-21 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-22 13:00:00,2018-04-22 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-23 19:00:00,2018-04-23 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-24 16:00:00,2018-04-24 19:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-25 13:00:00,2018-04-25 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-03 19:00:00,2018-05-03 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-04 19:00:00,2018-05-04 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-05 18:00:00,2018-05-05 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-06 13:00:00,2018-05-06 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-08 19:00:00,2018-05-08 23:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-09 13:00:00,2018-05-09 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-17 19:00:00,2018-05-17 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-18 19:00:00,2018-05-18 23:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-19 18:00:00,2018-05-19 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-20 13:00:00,2018-05-20 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-21 19:00:00,2018-05-21 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-22 19:00:00,2018-05-22 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-23 19:00:00,2018-05-23 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-05-24 13:00:00,2018-05-24 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-01 19:00:00,2018-06-01 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-02 13:00:00,2018-06-02 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-03 13:00:00,2018-06-03 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-11 19:00:00,2018-06-11 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-12 19:00:00,2018-06-12 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-13 19:00:00,2018-06-13 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-14 13:00:00,2018-06-14 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-15 19:00:00,2018-06-15 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-16 13:00:00,2018-06-16 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-17 13:00:00,2018-06-17 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-21 19:00:00,2018-06-21 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-22 15:00:00,2018-06-22 18:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-22 15:00:00,2018-06-22 18:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-23 13:00:00,2018-06-23 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-24 13:00:00,2018-06-24 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-26 19:00:00,2018-06-26 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-27 19:00:00,2018-06-27 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-06-28 13:00:00,2018-06-28 18:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-10 19:00:00,2018-07-10 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-11 19:00:00,2018-07-11 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-13 19:00:00,2018-07-13 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-14 13:00:00,2018-07-14 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-15 13:00:00,2018-07-15 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-27 19:00:00,2018-07-27 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-28 18:00:00,2018-07-28 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-29 13:00:00,2018-07-29 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-07-31 19:00:00,2018-07-31 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-01 19:00:00,2018-08-01 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-02 13:00:00,2018-08-02 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-06 19:00:00,2018-08-06 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-07 19:00:00,2018-08-07 23:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-08 19:00:00,2018-08-08 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-10 19:00:00,2018-08-10 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-11 18:00:00,2018-08-11 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-12 13:00:00,2018-08-12 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-17 19:00:00,2018-08-17 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-18 18:00:00,2018-08-18 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-19 13:00:00,2018-08-19 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-21 19:00:00,2018-08-21 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-22 13:00:00,2018-08-22 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-30 19:00:00,2018-08-30 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-08-31 19:00:00,2018-08-31 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-01 18:00:00,2018-09-01 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-02 13:00:00,2018-09-02 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-03 13:00:00,2018-09-03 15:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-04 19:00:00,2018-09-04 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-05 19:00:00,2018-09-05 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-07 19:00:00,2018-09-07 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-08 18:00:00,2018-09-08 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-09 13:00:00,2018-09-09 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-21 15:00:00,2018-09-21 18:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-22 18:00:00,2018-09-22 21:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-23 13:00:00,2018-09-23 16:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-24 19:00:00,2018-09-24 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-25 19:00:00,2018-09-25 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-09-26 19:00:00,2018-09-26 22:00:00,41.830017,-87.634598,Chicago White Sox,Baseball,842664dffffffff,862664cf7ffffff,872664cf1ffffff,882664cf57fffff,17031340600
2018-04-09 14:00:00,2018-04-09 17:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-10 13:00:00,2018-04-10 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-11 19:00:00,2018-04-11 22:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-12 13:00:00,2018-04-12 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-13 13:00:00,2018-04-13 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-14 13:00:00,2018-04-14 17:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-15 13:00:00,2018-04-15 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-16 18:00:00,2018-04-16 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-17 19:00:00,2018-04-17 22:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-18 13:00:00,2018-04-18 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-19 13:00:00,2018-04-19 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-26 19:00:00,2018-04-26 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-27 13:00:00,2018-04-27 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-28 13:00:00,2018-04-28 15:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-29 13:00:00,2018-04-29 15:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-04-30 18:00:00,2018-04-30 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-01 19:00:00,2018-05-01 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-02 13:00:00,2018-05-02 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-07 19:00:00,2018-05-07 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-08 19:00:00,2018-05-08 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-09 13:00:00,2018-05-09 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-11 13:00:00,2018-05-11 17:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-12 13:00:00,2018-05-12 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-13 13:00:00,2018-05-13 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-14 13:00:00,2018-05-14 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-22 18:00:00,2018-05-22 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-23 19:00:00,2018-05-23 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-25 13:00:00,2018-05-25 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-26 18:00:00,2018-05-26 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-05-27 19:00:00,2018-05-27 22:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-05 19:00:00,2018-06-05 21:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-06 19:00:00,2018-06-06 22:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-07 13:00:00,2018-06-07 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-08 13:00:00,2018-06-08 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-09 13:00:00,2018-06-09 15:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-10 13:00:00,2018-06-10 16:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-18 19:00:00,2018-06-18 22:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
2018-06-19 12:00:00,2018-06-19 15:00:00,41.948463,-87.6558,Chicago Cubs,Baseball,842664dffffffff,862664c17ffffff,872664c16ffffff,882664c161fffff,17031061100
